,base frame,end effector frame
0,arm_base_link,arm_7_link
,x,y,z,qw,qx,qy,qz,time
0,0.0,0.0,1.0337,1.0,0.0,0.0,0.0,63.2572360039
1,0.0,0.0,1.0337,1.0,0.0,0.0,0.0,63.2572360039
2,-0.0214057346233,-0.000185296944156,1.03335795815,0.998694711842,-0.000498451240535,-0.043391869222,0.0269401145411,63.2572360039
3,-0.042392117496,-0.000722956755195,1.0323571432,0.994963604007,-0.00193295277652,-0.0850972786041,0.0529352771692,63.2572360039
4,-0.067525155647,-0.000760502444871,1.03028791589,0.98795418649,-0.00719630559929,-0.132503775232,0.0796083421059,63.2572360039
5,-0.0925558364644,0.000870584569484,1.02727465414,0.979488601386,-0.0169779921821,-0.176675715248,0.0953913999138,63.2572360039
6,-0.117360825457,0.00452089592124,1.02332282237,0.969947956027,-0.0310890566582,-0.217618987203,0.104290026193,63.2572360039
7,-0.137774545603,0.00869614862505,1.01931810305,0.960853372258,-0.0454776881738,-0.249495640303,0.111554929822,63.2572360039
8,-0.161925993136,0.014454489054,1.01366624686,0.948260592445,-0.0651219665911,-0.285400807048,0.122911991358,63.2572360039
9,-0.185691674963,0.0206721744485,1.00710073424,0.933825782531,-0.0868591183584,-0.318772055887,0.137146920574,63.2572360039
10,-0.209084667675,0.0269966127528,0.999632796881,0.917949664117,-0.109420085911,-0.349663307746,0.152089546527,63.2572360039
11,-0.228289286568,0.0322747315755,0.992729489996,0.9046704074,-0.126644644148,-0.374178766815,0.159758688492,63.2572360039
12,-0.250929650356,0.0388484102268,0.983642649821,0.888916629361,-0.145459360331,-0.402585635009,0.163075464194,63.2572360039
13,-0.272407949233,0.0456554275284,0.973967195538,0.873643943373,-0.162013379174,-0.429717924575,0.160749589344,63.2572360039
14,-0.288862938252,0.0514369873504,0.965751461277,0.861757300882,-0.173379301234,-0.451166502986,0.154151739738,63.2572360039
15,-0.30684490739,0.0585487251482,0.955896794763,0.848451139312,-0.184379211483,-0.47538362948,0.141934405257,63.2572360039
16,-0.322859114998,0.06581634813,0.946278038861,0.836199381775,-0.192663072341,-0.497726958891,0.126172139822,63.2572360039
17,-0.33671172501,0.0731715136856,0.937208702992,0.825298389996,-0.198014698174,-0.517867470709,0.107172895634,63.2572360039
18,-0.346509186269,0.0793145584827,0.930280053409,0.817420820344,-0.20019889947,-0.532724994332,0.0891497814516,63.2572360039
19,-0.356607949575,0.0866594206365,0.922611262814,0.808914239535,-0.200834605804,-0.548574753033,0.0662491850771,63.2572360039
20,-0.365140329125,0.09386793119,0.915633693223,0.801238769918,-0.199712334447,-0.562401320521,0.0428505743905,63.2572360039
21,-0.372099438527,0.100728710487,0.909512187577,0.794612663704,-0.196994435258,-0.573929807048,0.0197099908747,63.2572360039
22,-0.377675690574,0.107077238421,0.904255870571,0.78904182544,-0.193058964274,-0.583211535238,-0.00235354716662,63.2572360039
23,-0.381428606011,0.111797654455,0.900523825408,0.785240603243,-0.189164486629,-0.589279804205,-0.0190605448947,63.2572360039
24,-0.385239043137,0.116727668217,0.896613915309,0.78143903,-0.184205134863,-0.59505549658,-0.0364755626782,63.2572360039
25,-0.388586954836,0.120875806584,0.89314194199,0.778286843479,-0.179245443625,-0.599631659492,-0.0508186298641,63.2572360039
26,-0.391646166261,0.124010606373,0.890062565241,0.775908004695,-0.174609643887,-0.603121995829,-0.0610090047333,63.2572360039
27,-0.394602869849,0.126106678658,0.887259792359,0.774234382522,-0.170542305768,-0.605821824428,-0.0667559728492,63.2572360039
