,base frame,end effector frame
0,arm_base_link,arm_7_link
,x,y,z,qw,qx,qy,qz
0,-0.337614151165,0.226343678192,0.716173527594,0.772632111537,-0.120698969803,-0.622832408067,-0.0234770179478
1,-0.337514096369,0.226057554215,0.715761394356,0.772641761536,-0.120730065759,-0.622813688113,-0.0234961582147
2,-0.328801599463,0.221469066948,0.73244903588,0.803719414967,-0.112813950539,-0.581967452367,-0.051205458235
3,-0.31834909039,0.214647664746,0.752091727138,0.837364189337,-0.101981312961,-0.530334339219,-0.0846552707586
4,-0.312321656096,0.200850765473,0.769605360445,0.865290611735,-0.0960201299468,-0.484247755274,-0.0869275756066
5,-0.306693694574,0.181086546872,0.788939144413,0.893401404966,-0.0921824484032,-0.434236038801,-0.0691041852358
6,-0.301396002915,0.163906578363,0.8047177153,0.913712673111,-0.0879684528047,-0.39342112907,-0.0510932237017
7,-0.29548941168,0.147910840154,0.819374327849,0.9303362968,-0.081329367041,-0.355515011484,-0.0383273469378
8,-0.28830636947,0.130469275401,0.834946278234,0.945854252894,-0.0712654095688,-0.31532040817,-0.029223515747
9,-0.28184195859,0.115516855164,0.847649933576,0.956901367345,-0.0609983970751,-0.282874284645,-0.0245175001599
10,-0.275468965944,0.101656934027,0.859301388684,0.965844904697,-0.0508343693294,-0.253184983663,-0.0213740733966
11,-0.26932473903,0.0895667133081,0.869873216718,0.973104473319,-0.041803965108,-0.225779337232,-0.0185419358945
12,-0.26336899051,0.0791172636995,0.879567464068,0.97899320176,-0.0339606000855,-0.200421224621,-0.0158215445116
13,-0.256705766518,0.068864446348,0.889808394754,0.984376592581,-0.0262461069962,-0.173630527296,-0.0128959620466
14,-0.250119634642,0.0601573115552,0.899337863418,0.988595783579,-0.0196894666365,-0.148947347215,-0.0102659315414
15,-0.244379019554,0.0537000830155,0.907191593691,0.991496151246,-0.0148416923212,-0.129020701095,-0.0082924617744
16,-0.238629666419,0.0482355379824,0.914660340567,0.99378290912,-0.0107714745047,-0.110612171449,-0.00666726365575
17,-0.233099654446,0.0435371447765,0.921476027767,0.995512420167,-0.00735269068124,-0.0941959409411,-0.00529942853431
18,-0.227901106244,0.0394685943792,0.927570280718,0.996783922424,-0.00450398691859,-0.0799023943708,-0.00413926003441
19,-0.223024161186,0.035934546418,0.93302936409,0.997710089581,-0.00214745338275,-0.067527329389,-0.00316628767022
20,-0.218449517763,0.032864684802,0.937936417388,0.998379192572,-0.000219399670516,-0.0568624261815,-0.00236731738137
21,-0.214134949624,0.0301702218026,0.942385101634,0.99886286086,0.00136411360092,-0.0476255229461,-0.00171287841287
22,-0.210646260002,0.0281435857907,0.945861086479,0.999163990116,0.00246383260419,-0.0407878571116,-0.00126534444611
23,-0.206769109049,0.0260289310609,0.94960234621,0.999422112825,0.00352300670382,-0.0337982696567,-0.000840111836345
24,-0.203057181111,0.0241213455457,0.953068736616,0.999607784999,0.00440032001717,-0.0276527011384,-0.000491398129799
25,-0.199004954038,0.0221676765964,0.956729219936,0.999754020431,0.00520813993231,-0.021557913038,-0.000174057348063
26,-0.195632898577,0.0206558945772,0.959680788637,0.999838650076,0.00574812220465,-0.0170185748829,3.18546232325e-05
27,-0.192890167611,0.0195193304549,0.962020575539,0.999886987766,0.00607941870397,-0.0137488110284,0.00015019965511
28,-0.189799337724,0.0183085918405,0.964593456521,0.99992549753,0.00637613695347,-0.010405788888,0.000252635586937
29,-0.186806672991,0.0171982802933,0.967021847694,0.999950194576,0.0065987724253,-0.0074804354634,0.000328109119357
30,-0.18391720045,0.0161887928413,0.969309578072,0.999964824309,0.00674966073604,-0.00496481395483,0.000377950635094
31,-0.181124133625,0.0152707516073,0.971469214599,0.999972572296,0.00683851520362,-0.00281501184166,0.000406293482313
32,-0.178414782511,0.0144297567052,0.97351663795,0.999975780732,0.00687878818831,-0.000971870515568,0.000419154458991
33,-0.175779477462,0.0136547979685,0.975464240354,0.999976051714,0.0068808023683,0.000610976854036,0.000421027545058
34,-0.173581292772,0.0130427873457,0.977056434937,0.999974859633,0.00685394063586,0.00176968544291,0.000414503759971
35,-0.171069920626,0.0123735825627,0.978840050966,0.999972438292,0.00680165955346,0.0029492408861,0.000402569846575
36,-0.168606620008,0.0117439954368,0.980553455092,0.999969346363,0.00673353564555,0.0039768000435,0.000388449401576
37,-0.166195713176,0.0111561867801,0.98219652495,0.999966046021,0.00664933756152,0.00485334714874,0.000371667083356
38,-0.163836031538,0.0106082988772,0.983772817909,0.999962843903,0.00655100029294,0.00559204258912,0.000352516786012
39,-0.161522995466,0.0100958187358,0.985287862563,0.999959894743,0.00644203304573,0.00621279940339,0.000332022171259
