,base frame,end effector frame
0,arm_base_link,arm_7_link
,x,y,z,qx,qy,qz,qw,time
0,0.387252674,-0.199418161,-0.274340188,0.122,0.621,0.023,0.774,0.171757936478
1,0.361660249293,-0.214459276213,-0.191303702831,0.169351150821,0.467316522278,0.0826548152984,0.86384815635,0.677235841751
2,0.31992828527,-0.209299673661,-0.094291356173,0.137392291341,0.309167809313,0.14549067401,0.929785506308,1.17783284187
3,0.259792017383,-0.191925585678,0.00197952905337,0.0743909394082,0.159278257907,0.190901682794,0.965806902128,1.73412895203
4,0.214305238019,-0.168671486104,0.0570115916503,0.00726212290162,0.0742462539788,0.141743504282,0.987154260658,2.23468780518
5,0.18516331412,-0.141778370376,0.0873781908036,-0.047777313607,0.0300603767508,0.0521253588389,0.997109145992,2.73560881615
6,0.170285743876,-0.127382901043,0.101127791783,-0.0653768309775,0.0158255809314,-0.00194713982582,0.997798391262,3.23937988281
7,0.158075626882,-0.125361723783,0.11086638561,-0.0545665532414,0.00806050161862,-0.00722876882001,0.998516531902,3.74009299278
8,0.148485962198,-0.123009158744,0.117946834812,-0.0451594789823,0.00361485494358,-0.00821887305278,0.9990045067,4.24316096306
9,0.140888883832,-0.119784618444,0.123133368159,-0.0383666587132,0.00116102511137,-0.00865256472563,0.999290640726,4.74463200569
10,0.134637711958,-0.116103800883,0.127027925974,-0.0333058574641,-0.000267075613876,-0.00848714696436,0.999474170184,5.24515485764
11,0.129406905256,-0.11212178914,0.129941132255,-0.0296490551985,-0.00109267123832,-0.00821230450177,0.999591065211,5.74967598915
12,0.12494987842,-0.108032779512,0.132095008071,-0.0269887803134,-0.00158089386798,-0.00790522817403,0.999668251911,6.25018501282
13,0.121107721927,-0.103966544951,0.133634391514,-0.0250492721402,-0.00187610484355,-0.00762964859466,0.99972036223,6.75299596786
14,0.11774974932,-0.100018867592,0.134677945793,-0.0236084046513,-0.00206443654352,-0.00739720510433,0.999756801771,7.25358200073
15,0.114794596697,-0.0962521676603,0.135303006793,-0.0225205287242,-0.00219464197004,-0.00721188184431,0.999782975497,7.75502181053
16,0.112166794404,-0.0927029489004,0.135581012261,-0.0216751424209,-0.00229478089874,-0.00706696026016,0.999802470618,8.25583195686
17,0.109810321643,-0.0893896361054,0.135566581081,-0.0209990094622,-0.0023806684409,-0.00695631859533,0.999817475168,8.75697898865
18,0.107679401613,-0.08631864404,0.135304922454,-0.0204414346029,-0.00246151242953,-0.00687300094445,0.999829410733,9.25922584534
19,0.105736912973,-0.083487921033,0.134833389919,-0.0199692320116,-0.00254178240567,-0.00681267568762,0.999839165349,9.76036787033
20,0.103952967818,-0.0808923415481,0.134182703278,-0.0195588256793,-0.00262427994756,-0.00676987879659,0.999847355467,10.2611138821
21,0.102297763072,-0.0785180477189,0.133382528133,-0.0191959829925,-0.00270875302672,-0.00674208326905,0.999854349997,10.7644479275
22,0.100751104517,-0.0763555846406,0.132454496094,-0.0188696566712,-0.00279600912964,-0.00672532200867,0.999860434478,11.2662789822
23,0.0992374635171,-0.0743171175351,0.131375218495,-0.0185626691041,-0.00288891634575,-0.00671866947076,0.999865961496,11.7722289562
24,0.0978557838598,-0.0725451671293,0.130246177944,-0.0182938123826,-0.00297955408773,-0.00672036983613,0.999870639291,12.2736418247
25,0.0965348690796,-0.0709474414262,0.12904163723,-0.0180469832062,-0.00307124460811,-0.00672772942496,0.999874797917,12.7751889229
26,0.0953125502476,-0.0695644982348,0.127826867975,-0.0178295868922,-0.00315923843943,-0.00674049516702,0.999878337983,13.2789897919
27,0.0940303278668,-0.0682226867079,0.126457695116,-0.0176134606475,-0.00325410153432,-0.00675863406745,0.999881741854,13.780009985
28,0.0928292953214,-0.0670723907059,0.125099544625,-0.017424147244,-0.00334411402459,-0.0067812940373,0.999884608365,14.2958788872
29,0.0916544000872,-0.0660515439974,0.123709259179,-0.0172500668076,-0.0034328589882,-0.00680482142467,0.999887166174,14.7955567837
30,0.090500527358,-0.0651487353668,0.122294401466,-0.0170924096525,-0.00351940652948,-0.00683259972367,0.999889383327,15.2968947887
31,0.0893634706919,-0.0643557073431,0.120862058948,-0.0169487657988,-0.00360380324003,-0.00686143885024,0.999891330394,15.8009178638
32,0.0882398121917,-0.063662898741,0.11941807858,-0.0168190522574,-0.00368565890165,-0.00689264769608,0.99989300768,16.301104784
33,0.087082860422,-0.063040304558,0.117909882281,-0.0166975335216,-0.00376795360328,-0.00692630638044,0.999894505025,16.805467844
34,0.0859802414222,-0.0625280252594,0.116459100715,-0.0165928922214,-0.00384386490764,-0.00695908006131,0.999895730481,17.3055608273
35,0.0848851040607,-0.0620922780288,0.115011353007,-0.0164992607881,-0.00391689963646,-0.00699296106741,0.999896760064,17.805921793
36,0.0837966811006,-0.0617262069576,0.11357054573,-0.0164157833203,-0.00398687610391,-0.00702747089905,0.999897615524,18.3097808361
37,0.0827142116425,-0.0614234025644,0.11213996116,-0.0163411639749,-0.0040538795907,-0.00706173596965,0.999898326984,18.8101639748
38,0.0816378462295,-0.0611771301708,0.110723339292,-0.0162753074908,-0.00411739183865,-0.00709599083601,0.999898899072,19.3129639626
